year,makers,services,professions,support,all
2002,845976,836274,719488,796246,3197984
2003,782889,823079,679792,794857,3080617
2004,774831,817061,673237,786663,3051792
2005,790634,834913,680200,781864,3087611
2006,790769,843917,698492,801634,3134812
2007,808558,854849,704356,840689,3208452
2008,786034,854065,706469,894112,3240680
2009,728031,790863,688302,912137,3119333
2010,705744,804637,684297,964995,3159673
2011,712845,828968,718965,976399,3237177
2012,716964,867664,749794,963670,3298092
2013,733019,913303,804682,994328,3445332
2014,766061,954833,831186,1013616,3565696
2015,799916,985798,887679,1056618,3730011
